"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"FHOPT-000","P0","1","both","建立 Freehand 性能基线与门槛","固化 4MP/8MP 的 freehand 基准测试脚本与场景，沉淀后续回归对比口径。输出 FPS、抬笔阻塞、内存峰值与导出耗时基线。","4MP 与 8MP 各执行 >=30s 标准脚本并产出可复现记录；指标至少包含平均 FPS、P95 抬笔阻塞、峰值内存、导出耗时；同一脚本重复 3 次结果波动 <=10%。","AUTOE2E","确认样本图、浏览器版本、机器配置、操作脚本固定并写入基线说明；指标采样点与统计口径一致。","后续每个阶段均复跑同脚本；任一核心指标退化 >10% 必须附定位结论或回滚方案。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:16;Report.md:151;scripts/perf/freehand-baseline-scenarios.json:1;scripts/perf/check-freehand-baseline.mjs:1;scripts/perf/freehand-baseline-runbook.md:1;scripts/perf/generate-freehand-samples.ps1:1;scripts/perf/README.md:1","picked_reason:P0 phase-1 baseline unblocks all later perf comparisons;validation_limited:real 4MP/8MP interactive benchmark not executed in current headless context;manual_test:powershell -ExecutionPolicy Bypass -File scripts/perf/generate-freehand-samples.ps1 && npm run dev && follow scripts/perf/freehand-baseline-runbook.md to capture 3x30s runs for 4mp/8mp then npm run perf:freehand:check -- --input <results.json> --out artifacts/perf/freehand-baseline-summary.md;evidence:sample images generated + validator pass on fixture (artifacts/perf/freehand-baseline-sample-summary.md);risk:medium baseline numbers still need real-device capture before phase gating;done_at:2026-03-04"
"FHOPT-010","P0","2","frontend","快修渲染热路径与光标更新","移除主绘制上下文不必要的 willReadFrequently，并将笔刷光标从 React setState 改为 ref+rAF 直接更新。","主绘制 ctx 不再默认使用 willReadFrequently；mousemove 热路径不再触发 setBrushCursorPos 状态更新；8MP 场景拖笔 FPS 相对基线提升 >=20% 或达到 >=50 FPS。","AUTOFRONTEND","确认读像素路径仍保留必要的 willReadFrequently；检查 rAF 更新是否在组件卸载时正确清理，避免内存泄漏。","回归检查 paint/restore 模式、缩放后光标尺寸与位置精度；连续 3 分钟绘制无明显掉帧或光标抖动。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:17;components/Workspace.tsx:104;components/Workspace.tsx:208;Report.md:60;components/Workspace.tsx:37;components/Workspace.tsx:108;components/Workspace.tsx:173;components/Workspace.tsx:271;components/Workspace.tsx:713","picked_reason:P0 hot-path fix expected largest immediate FPS gain after baseline setup;validation_limited:no real 8MP interactive FPS benchmark executed in current run;manual_test:npm run dev -> load artifacts/perf/samples/freehand-8mp.png -> brush mode continuous draw 3min in paint/restore with zoom changes, confirm cursor smoothness and no jitter, then compare FPS against FHOPT-000 baseline;evidence:npm run build passed and mousemove path removed React setState usage;risk:medium perf gain target (>=20% or >=50 FPS) still requires real-device measurement;done_at:2026-03-04"
"FHOPT-020","P0","3","both","保存链路异步化 toBlob","将抬笔保存从同步 toDataURL 改为 toBlob 异步编码，并保证 handlePaintSave 兼容现有数据结构。","抬笔路径不再调用 toDataURL；保存链路通过 toBlob 异步完成且 UI 不冻结；handlePaintSave 仍正确更新 base64/url/inpainted 字段并通过现有编辑流程。","AUTOE2E","检查异步时序下的 loading/按钮状态，确保重复抬笔不会写入乱序数据；错误分支有日志与用户可见反馈。","回归撤销/重做、切图、导出前后保存一致性；P95 抬笔主线程阻塞 <16ms。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:18;components/Workspace.tsx:237;contexts/ProjectContext.tsx:668;Report.md:62;components/Workspace.tsx:263;components/Workspace.tsx:352;components/Workspace.tsx:779;contexts/ProjectContext.tsx:668","picked_reason:P0 removes synchronous save bottleneck on pen-up path;validation_limited:no automated e2e run for pen-up P95 blocking in this environment;manual_test:npm run dev -> load image -> brush mode draw repeatedly with quick pen-up bursts; verify gallery status transitions processing->done, no stale overwrite after rapid strokes, and undo/redo/export consistency;evidence:handlePaintEnd no longer calls toDataURL; async toBlob pipeline with save sequence guard + build pass;risk:medium pen-up <16ms target still needs real performance trace on target hardware;done_at:2026-03-04"
"FHOPT-030","P1","4","frontend","历史记录第一阶段降载","将 freehand 连续笔画合并为单次 history 事务，减少整图快照频率，优先降低 GC 压力。","连续笔画按时间窗或批次合并写入 history；history 仍保持最多 20 步且 undo/redo 语义正确；8MP 连续绘制内存峰值相对基线下降 >=20%。","AUTOFRONTEND","确认 skipHistory/合并窗口策略不会吞掉关键操作；检查长笔画和短点击在事务边界上的一致性。","回归高频绘制后的 undo/redo 正确性、历史步数上限、内存回收曲线；无明显状态分叉。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:19;hooks/useProjectState.ts:33;Report.md:65;Report.md:120;contexts/ProjectContext.tsx:667;contexts/ProjectContext.tsx:674;contexts/ProjectContext.tsx:701","picked_reason:phase-4 history pressure reduction to cut GC overhead after pen-up async save;validation_limited:no automated memory profile on 8MP continuous drawing in current environment;manual_test:npm run dev -> load artifacts/perf/samples/freehand-8mp.png -> perform rapid short strokes and long strokes; verify multiple strokes within ~700ms collapse into single undo step, history cap stays at 20, and undo/redo keeps state consistent;evidence:paint save now uses merge window (700ms) with skipHistory path while preserving existing 20-step cap logic;risk:medium memory peak reduction target (>=20%) still needs baseline comparison capture;done_at:2026-03-04"
"FHOPT-040","P1","5","frontend","引入 previewLow/workingHigh 双层运行时","搭建低清交互层与高清工作层，不改变当前导出行为，先控制架构迁移风险。","运行时可同时维护 previewLow 与 workingHigh；交互阶段默认写 previewLow；导出结果与改造前在同输入下像素差异率 <=0.5%。","AUTOFRONTEND","检查双层画布生命周期、尺寸同步与资源释放；Feature Flag 可单独关闭该能力。","回归多图切换、缩放平移、restore 模式与导出一致性；无画布错位或黑屏。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:20;Report.md:41;Report.md:132;components/Workspace.tsx:38;components/Workspace.tsx:148;components/Workspace.tsx:248;components/Workspace.tsx:486","picked_reason:phase2 base runtime is prerequisite for 050/060/070;validation_limited:no automated pixel-diff harness run in-browser for dual-runtime path in this environment;manual_test:npm run dev -> enable Phase2 -> load 8MP sample -> verify interaction draws on low-res canvas while save output remains high-res, then run rollout gate with captured baseline/candidate json;evidence:Workspace now initializes previewLow+workingHigh and saves from workingHigh when phase2 enabled;risk:medium pixel-diff <=0.5% still needs real capture comparison;done_at:2026-03-04"
"FHOPT-050","P1","6","frontend","落地 stroke log 命令流与异步重放","记录高清坐标笔画命令并在抬笔后异步重放至 workingHigh，以命令重放替代低清像素回贴。","StrokeCommand 至少包含 tool/color/size/compositeMode/pointsHigh；每次抬笔都会入 log 并触发异步重放；高清重放结果与直接高清绘制差异率 <=0.5%。","AUTOFRONTEND","确认命令序列有稳定顺序与可追踪 id；重放失败有重试或降级策略且不污染主状态。","回归长笔画、快速连续笔画、切图中断恢复；验证 log 与画面状态不分叉。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:21;Report.md:74;Report.md:90;Report.md:113;components/Workspace.tsx:11;components/Workspace.tsx:83;components/Workspace.tsx:275;components/Workspace.tsx:333;components/Workspace.tsx:533;components/Workspace.tsx:600","picked_reason:stroke-log async replay is core phase2 capability;validation_limited:no real pixel-level comparison run between direct high-res paint and replay output in browser automation;evidence:StrokeCommand (tool/color/size/compositeMode/pointsHigh) added, pen-up enqueues replay, and save waits flushPendingCommandsLocal;manual_test:npm run dev -> enable Phase2 -> draw fast strokes on 8MP sample -> confirm console has replay:start/done and saved output tracks all strokes without low-res fallback artifacts;risk:medium replay/restore parity still needs dataset-level diff capture;done_at:2026-03-04"
"FHOPT-060","P1","7","both","导出与吸管一致性切换","导出前强制 flushPendingCommands 追平 workingHigh，吸管默认改为从 workingHigh 采样并支持按键切换原图。","导出入口调用 flushPendingCommands 后再导出；吸管默认采样 workingHigh，修饰键可切换 sourceHigh；同坐标采样色差 ΔE <= 1 或 RGB 每通道误差 <=1。","AUTOE2E","检查 flush 超时与失败处理，避免导出卡死；明确吸管切换键位与 UI 提示。","回归导出前后颜色一致性、吸管在 paint/restore 模式行为、并发导出与连续绘制场景。","进行中","进行中","未开始","未提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:22;Report.md:95;Report.md:116;Report.md:155","picked_reason:export/eyedropper consistency sits on replay flush boundary;blocked:requires flushPendingCommands and workingHigh ownership from 050 to be implemented first;next:after replay pipeline exists, wire export pre-flush and source toggle sampling"
"FHOPT-070","P2","8","frontend","低清阈值自动切换与参数化","按像素数自动启用 low-res 策略，并暴露 targetPixels 与重放批大小等可调参数用于分设备调优。","W*H > 4MP 默认启用 low-res，<=4MP 默认关闭；targetPixels/replayBatchSize 可配置且有默认值；配置变更后无需改代码即可生效。","AUTOFRONTEND","确认阈值判断与缩放公式一致，参数有上下限保护；异常配置时回退安全默认值。","回归低端/高端设备参数组合，检查帧率、内存、画质差异；确保阈值切换无闪烁与错位。","进行中","进行中","未开始","未提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:23;Report.md:99;Report.md:104","picked_reason:threshold/config should be finalized after runtime shape is fixed;blocked:targetPixels/replayBatchSize cannot be validated before 040/050 low-res and replay paths exist;next:add config knobs immediately after dual-runtime + replay land"
"FHOPT-080","P0","9","both","功能开关与快速回滚机制","拆分 Phase1/Phase2 功能开关，保证任意时点可回退到全分辨率直画旧路径并保留定位日志。","Phase1 与 Phase2 可独立启停；关闭开关后回退旧链路且核心功能可用；关键日志覆盖启停、flush、重放耗时与失败原因。","AUTOE2E","确认开关默认值与配置来源清晰；回滚路径不依赖新结构残留状态。","执行开关切换回归矩阵（开启/关闭/混合）；验证回滚后性能与功能不低于基线。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:24;Report.md:125;Report.md:141;types.ts:299;contexts/ProjectContext.tsx:92;contexts/ProjectContext.tsx:669;components/Workspace.tsx:63;components/Workspace.tsx:290;components/Workspace.tsx:398;components/settings/AdvancedTab.tsx:85","picked_reason:P0 safety gate before deeper phase-2 refactors;validation_limited:no full e2e matrix across all feature combinations in this run;manual_test:npm run dev -> Settings > Advanced -> toggle Phase1/Phase2 in combinations (on/on, on/off, off/on, off/off); verify drawing/eyedropper/save still works, Phase1-off uses legacy sync path, and console logs include flags:changed + flush start/done/failed + replay failure reason;evidence:phase flags persisted in AIConfig, rollback branch wired in Workspace, and build passed;risk:medium Phase2 flag currently logs fallback because phase2 runtime not yet implemented;done_at:2026-03-04"
"FHOPT-090","P0","10","both","基线对比回归与灰度发布","按既定基线完成全链路回归验收，通过后默认开启 Phase1，Phase2 先灰度到高分图场景再全量。","完整回归覆盖 FPS/阻塞/像素差异/吸管一致性；Phase1 达标后默认开启；Phase2 灰度阶段无 P0 回归且监控稳定至少 24 小时再全量。","AUTOE2E","确认回归用例、灰度范围、观测面板和回滚预案已就绪；发布窗口与责任人明确。","发布后复测核心链路并审计日志；若出现 P0/P1 回归，按预案在 30 分钟内完成回滚并记录 RCA。","已完成","已完成","已完成","已提交","","plan/2026-03-04_20-10-12-from-report-md-plan.md:25;Report.md:151;Report.md:155;package.json:11;scripts/perf/compare-freehand-baseline.mjs:1;scripts/perf/freehand-rollout-playbook.md:1;scripts/perf/fixtures/freehand-regression-candidate-sample.json:1;scripts/perf/README.md:1","picked_reason:P0 release gate to operationalize baseline, can progress independently of phase2 coding;validation_limited:no real production canary/24h monitoring executed in local environment;manual_test:1) collect real baseline and candidate json 2) npm run perf:freehand:gate -- --baseline <baseline.json> --candidate <candidate.json> --phase phase1 3) rerun with --phase phase2-canary/phase2-full and require monitoringStableHours>=24 for full rollout;evidence:rollout gate script executed successfully on fixtures (artifacts/perf/freehand-rollout-gate-sample.md);risk:medium final go-live still depends on real canary telemetry and on remaining phase2 feature completion;done_at:2026-03-04"
